Stu ID,pos_x,pos_y,consume_level,have_class_afternoon
4901,233,718,79,FALSE
4902,127,799,45,FALSE
4903,121,353,43,TRUE
4904,597,14,31,FALSE
4905,349,968,100,FALSE
4906,527,272,94,TRUE
4907,893,533,77,FALSE
4908,904,95,75,TRUE
4909,845,196,55,FALSE
4910,530,479,97,TRUE
4911,457,469,100,FALSE
4912,814,445,100,FALSE
4913,373,620,91,FALSE
4914,490,962,58,FALSE
4915,46,778,92,TRUE
4916,826,656,69,FALSE
4917,486,203,81,TRUE
4918,741,404,90,FALSE
4919,880,475,91,FALSE
4920,690,577,88,FALSE
4921,933,694,73,FALSE
4922,10,437,66,FALSE
4923,761,70,100,FALSE
4924,425,410,78,TRUE
4925,640,155,94,FALSE
4926,166,864,96,TRUE
4927,512,734,13,FALSE
4928,150,923,58,FALSE
4929,78,928,61,FALSE
4930,716,408,55,FALSE
4931,954,536,97,FALSE
4932,952,207,100,FALSE
4933,735,210,73,TRUE
4934,764,975,72,FALSE
4935,771,691,100,FALSE
4936,502,468,69,FALSE
4937,469,975,100,FALSE
4938,780,350,39,FALSE
4939,479,826,83,FALSE
4940,420,19,81,FALSE
4941,113,636,67,FALSE
4942,96,772,89,FALSE
4943,71,669,77,FALSE
4944,926,799,80,FALSE
4945,783,9,71,TRUE
4946,579,953,95,FALSE
4947,461,930,91,FALSE
4948,152,190,88,FALSE
4949,163,346,100,FALSE
4950,267,782,90,TRUE
4951,13,358,74,FALSE
4952,129,592,82,TRUE
4953,711,949,61,FALSE
4954,60,874,94,TRUE
4955,431,467,99,FALSE
4956,513,712,100,FALSE
4957,507,612,62,TRUE
4958,600,414,100,TRUE
4959,280,46,98,FALSE
4960,17,886,94,TRUE
4961,827,494,96,FALSE
4962,48,195,100,FALSE
4963,239,340,73,FALSE
4964,463,656,84,TRUE
4965,765,431,85,FALSE
4966,137,390,56,FALSE
4967,862,63,78,FALSE
4968,157,486,62,TRUE
4969,979,559,100,TRUE
4970,544,632,78,FALSE
4971,473,584,48,FALSE
4972,190,101,93,FALSE
4973,937,992,94,FALSE
4974,635,441,65,FALSE
4975,649,163,78,TRUE
4976,12,268,100,FALSE
4977,292,369,77,FALSE
4978,962,103,100,FALSE
4979,714,229,83,FALSE
4980,0,509,66,TRUE
4981,5,526,85,TRUE
4982,944,247,71,FALSE
4983,895,768,75,TRUE
4984,223,93,54,FALSE
4985,515,739,100,TRUE
4986,75,324,89,TRUE
4987,272,888,86,FALSE
4988,569,330,89,FALSE
4989,245,617,100,FALSE
4990,305,768,99,TRUE
4991,605,552,82,TRUE
4992,651,776,93,TRUE
4993,840,530,77,TRUE
4994,893,145,67,TRUE
4995,692,787,81,TRUE
4996,347,7,53,FALSE
4997,195,462,55,FALSE
4998,863,940,76,TRUE
4999,72,884,67,FALSE
5000,790,479,72,TRUE
