Stu ID,pos_x,pos_y,consume_level,have_class_afternoon,choice
1,603,351,20,FALSE,C
2,169,33,100,FALSE,A
3,652,104,64,TRUE,C
4,414,496,61,TRUE,C
5,376,857,64,FALSE,B
6,585,82,70,FALSE,C
7,317,821,98,FALSE,B
8,12,235,84,TRUE,A
9,105,573,45,FALSE,C
10,130,768,92,TRUE,B
11,561,279,59,TRUE,C
12,266,405,85,TRUE,A
13,827,201,65,TRUE,C
14,242,383,99,TRUE,A
15,8,742,65,FALSE,B
16,4,9,73,FALSE,A
17,899,994,58,FALSE,C
18,239,322,84,FALSE,B
19,202,826,74,TRUE,B
20,393,472,68,FALSE,B
21,40,8,68,FALSE,B
22,806,48,66,FALSE,C
23,537,495,86,FALSE,A
24,383,689,82,TRUE,B
25,906,228,100,FALSE,A
26,59,644,77,FALSE,B
27,563,32,96,TRUE,A
28,403,509,100,FALSE,A
29,178,456,41,FALSE,C
30,797,417,90,FALSE,B
31,112,103,86,TRUE,A
32,883,89,100,FALSE,A
33,536,532,82,FALSE,B
34,469,546,82,FALSE,B
35,43,182,88,FALSE,A
36,805,944,87,FALSE,C
37,990,593,71,TRUE,C
38,922,620,68,FALSE,C
39,121,46,66,FALSE,B
40,391,101,66,TRUE,A
41,694,92,55,FALSE,C
42,269,791,77,FALSE,B
43,310,275,100,FALSE,A
44,417,241,89,TRUE,A
45,401,298,83,FALSE,A
46,127,248,100,FALSE,A
47,211,134,61,TRUE,A
48,328,471,50,FALSE,C
49,144,169,65,FALSE,B
50,605,588,48,FALSE,C
51,404,195,100,TRUE,A
52,975,122,64,FALSE,C
53,164,594,41,FALSE,C
54,278,712,77,FALSE,B
55,735,846,58,TRUE,C
56,246,470,84,FALSE,B
57,763,187,75,FALSE,B
58,609,728,100,FALSE,A
59,906,150,54,FALSE,C
60,174,448,86,TRUE,A
61,822,813,89,FALSE,B
62,262,273,71,TRUE,A
63,708,18,95,TRUE,C
64,641,250,81,FALSE,B
65,952,413,86,FALSE,B
66,839,856,100,FALSE,A
67,479,375,100,TRUE,C
68,491,283,70,FALSE,B
69,367,286,66,FALSE,B
70,731,483,100,FALSE,A
71,39,766,80,FALSE,B
72,240,780,53,FALSE,C
73,923,143,100,TRUE,C
74,376,87,73,FALSE,B
75,811,648,100,FALSE,A
76,318,28,80,FALSE,B
77,393,308,61,TRUE,C
78,315,314,100,FALSE,A
79,774,823,100,FALSE,A
80,509,807,77,FALSE,B
81,581,288,73,TRUE,C
82,379,716,51,TRUE,C
83,523,879,37,TRUE,C
84,535,108,92,TRUE,A
85,440,100,57,TRUE,C
86,606,321,68,TRUE,C
87,707,237,63,FALSE,C
88,309,642,100,TRUE,B
89,64,25,100,TRUE,A
90,459,38,91,FALSE,A
91,27,675,57,TRUE,B
92,114,240,95,FALSE,A
93,606,351,92,TRUE,C
94,494,341,97,TRUE,C
95,191,731,90,FALSE,B
96,254,684,70,FALSE,B
97,3,344,97,TRUE,A
98,932,357,73,FALSE,B
99,219,116,100,TRUE,A
100,263,283,62,FALSE,B
101,466,752,70,FALSE,B
102,187,635,43,TRUE,B
103,577,226,100,TRUE,C
104,252,279,79,FALSE,B
105,701,281,77,FALSE,B
106,971,382,78,TRUE,C
107,582,798,67,TRUE,C
108,774,292,79,TRUE,C
109,114,400,98,FALSE,A
110,817,227,72,FALSE,C
111,540,13,94,FALSE,A
112,64,422,62,FALSE,B
113,609,473,69,FALSE,B
114,488,315,74,FALSE,B
115,119,504,64,TRUE,B
116,884,199,100,TRUE,C
117,64,540,43,FALSE,C
118,753,588,94,TRUE,C
119,466,163,82,TRUE,A
120,953,677,75,FALSE,B
121,555,692,96,FALSE,B
122,108,345,87,FALSE,A
123,371,764,84,TRUE,B
124,370,468,100,FALSE,A
125,923,77,100,FALSE,A
126,285,193,86,FALSE,B
127,471,74,84,TRUE,C
128,735,992,79,TRUE,C
129,132,244,76,FALSE,B
130,149,386,64,FALSE,B
131,884,622,64,FALSE,C
132,180,867,100,TRUE,B
133,887,725,75,FALSE,B
134,533,626,86,FALSE,B
135,226,145,75,FALSE,A
136,541,624,87,FALSE,A
137,218,943,100,TRUE,B
138,555,505,59,FALSE,C
139,611,861,84,TRUE,C
140,166,696,61,FALSE,B
141,867,445,63,FALSE,C
142,1,968,46,FALSE,C
143,973,961,54,FALSE,C
144,863,785,88,FALSE,B
145,426,52,80,FALSE,B
146,173,954,78,FALSE,B
147,842,236,81,FALSE,B
148,188,376,84,FALSE,B
149,752,291,88,TRUE,C
150,862,356,71,TRUE,C
151,581,541,79,TRUE,C
152,815,845,61,FALSE,C
153,751,931,27,FALSE,C
154,506,379,81,FALSE,C
155,455,723,92,TRUE,B
156,129,83,100,FALSE,A
157,860,594,59,FALSE,C
158,614,144,80,FALSE,B
159,517,340,92,FALSE,A
160,7,399,100,FALSE,A
161,566,728,95,FALSE,A
162,158,608,68,TRUE,B
163,382,97,62,FALSE,C
164,925,424,100,FALSE,A
165,732,833,88,FALSE,B
166,612,448,43,TRUE,C
167,771,370,76,TRUE,C
168,768,187,82,FALSE,B
169,553,653,72,TRUE,C
170,139,438,100,TRUE,B
171,317,310,83,FALSE,A
172,30,98,66,FALSE,B
173,875,653,56,FALSE,C
174,445,545,42,FALSE,C
175,78,424,86,FALSE,A
176,354,337,60,FALSE,C
177,796,175,74,FALSE,B
178,667,414,100,TRUE,C
179,675,178,95,FALSE,A
180,222,274,86,FALSE,B
181,543,413,78,FALSE,B
182,603,427,88,FALSE,A
183,912,148,83,FALSE,C
184,916,397,88,FALSE,C
185,332,945,100,FALSE,B
186,19,82,100,TRUE,A
187,572,981,77,FALSE,B
188,934,544,88,TRUE,C
